route_type, short_name, mode, description_examples, buffer_distance
0,LRT,"Tram, Streetcar, Light rail.","Any light rail or street level system within a metropolitan area.",400
1,subway,"Subway, Metro.","Any underground rail system within a metropolitan area.",800
2,rail,"Rail","Used for intercity or long-distance travel.",800
3,bus,"Bus","Used for short- and long-distance bus routes.",400
4,ferry,"Ferry","Used for short- and long-distance boat service.",800
5,cable_tram,"Cable tram","Used for street-level rail cars where the cable runs beneath the vehicle, e.g., cable car in San Francisco.",400
6,aerial_lift,"Aerial lift","suspended cable car (e.g., gondola lift, aerial tramway). Cable transport where cabins, cars, gondolas or open chairs are suspended by means of one or more cables.",400
7,funicular,"Funicular","Any rail system designed for steep inclines",800
11,trolleybus,"Trolleybus","Electric buses that draw power from overhead wires using poles",400
12,monorail,"Monorail","Railway in which the track consists of a single rail or a beam",800
100,railway,"Railway Service",,800
101,hsr,"High Speed Rail Service","TGV (FR), ICE (DE), Eurostar (GB) and similar",800
102,long_distance_rail,"Long Distance Trains","InterCity/EuroCity",800
103,inter_regional_rail,"Inter Regional Rail Service","InterRegio (DE), Cross County Rail (GB)",800
104,motor_rail,"Car Transport Rail Service",,800
105,sleeper_train,"Sleeper Rail Service","GNER Sleeper (GB)",800
106,,"Regional Rail Service","TER (FR), Regionalzug (DE)",800
107,,"Tourist Railway Service","Romney, Hythe & Dymchurch (GB)",800
108,,"Rail Shuttle (Within Complex)","Gatwick Shuttle (GB), Sky Line (DE)",800
109,,"Suburban Railway","S-Bahn (DE), RER (FR), S-tog (Kopenhagen)",800
110,,"Replacement Rail Service",,800
111,,"Special Rail Service",,800
112,,"Lorry Transport Rail Service",,800
113,,"All Rail Services",,800
114,,"Cross-Country Rail Service",,800
115,,"Vehicle Transport Rail Service",,800
116,,"Rack and Pinion Railway","Rochers de Naye (CH), Dolderbahn (CH)",800
117,,"Additional Rail Service",,800
200,,"Coach Service",,400
201,,"International Coach Service","EuroLine, Touring",400
202,,"National Coach Service","National Express (GB)",400
203,,"Shuttle Coach Service","Roissy Bus (FR), Reading-Heathrow (GB)",400
204,,"Regional Coach Service",,400
205,,"Special Coach Service",,400
206,,"Sightseeing Coach Service",,400
207,,"Tourist Coach Service",,400
208,,"Commuter Coach Service",,400
209,,"All Coach Services",,400
400,,"Urban Railway Service",,800
401,,"Metro Service","Métro de Paris",800
402,,"Underground Service","London Underground, U-Bahn",800
403,,"Urban Railway Service",,800
404,,"All Urban Railway Services",,800
405,,"Monorail",,800
700,,"Bus Service",,400
701,,"Regional Bus Service","Eastbourne-Maidstone (GB)",400
702,,"Express Bus Service","X19 Wokingham-Heathrow (GB)",400
703,,"Stopping Bus Service","38 London: Clapton Pond-Victoria (GB)",400
704,,"Local Bus Service",,400
705,,"Night Bus Service","N prefixed buses in London (GB)",400
706,,"Post Bus Service","Maidstone P4 (GB)",400
707,,"Special Needs Bus",,400
708,,"Mobility Bus Service",,400
709,,"Mobility Bus for Registered Disabled",,400
710,,"Sightseeing Bus",,400
711,,"Shuttle Bus","747 Heathrow-Gatwick Airport Service (GB)",400
712,,"School Bus",,400
713,,"School and Public Service Bus",,400
714,,"Rail Replacement Bus Service",,400
715,,"Demand and Response Bus Service",,400
716,,"All Bus Services",,400
800,,"Trolleybus Service",,400
900,,"Tram Service",,400
901,,"City Tram Service",,400
902,,"Local Tram Service","Munich (DE), Brussels (BE), Croydon (GB)",400
903,,"Regional Tram Service",,400
904,,"Sightseeing Tram Service","Blackpool Seafront (GB)",400
905,,"Shuttle Tram Service",,400
906,,"All Tram Services",,400
1000,,"Water Transport Service",,400
1100,,"Air Service",,800
1200,,"Ferry Service",,400
1300,,"Aerial Lift Service","Telefèric de Montjuïc (ES), Saleve (CH), Roosevelt Island Tramway (US)",400 
1301,,"Telecabin Service",,400
1302,,"Cable Car Service",,400
1303,,"Elevator Service",,400
1304,,"Chair Lift Service",,400
1305,,"Drag Lift Service",,400
1306,,"Small Telecabin Service",,400
1307,,"All Telecabin Services",,400
1400,,"Funicular Service","Rigiblick (Zürich, CH)",400
1500,,"Taxi Service",,400
1501,,"Communal Taxi Service","Marshrutka (RU), dolmus (TR)",400
1502,,"Water Taxi Service",,400
1503,,"Rail Taxi Service",,800
1504,,"Bike Taxi Service",,400
1505,,"Licensed Taxi Service",,400
1506,,"Private Hire Service Vehicle",,400
1507,,"All Taxi Services",,400
1700,,"Miscellaneous Service",,400
1702,,"Horse-drawn Carriage",,400

